lyrics,pos,neg,compound,sentiment
booked night train reason could sit hurt bustling crowds silent sleepers sure worse dropped hand dancing left standing crestfallen landing champagne problems mom ring pocket picture wallet heart glass dropped champagne problems told family reason could keep sister splashed bottle one celebrating dom pérignon brought crowd friends applauded hometown skeptics called champagne problems speech speechless love slipped beyond reaches could give reason champagne problems midas touch chevy door november flush flannel cure dorm madhouse made joke well made evergreen group friends think say word soon nerve deck halls walked one money two show never ready watch go sometimes know answer til someone knees asks would made lovely bride shame fucked head said find real thing instead patch tapestry shred hold hand dancing never leave standing crestfallen landing champagne problems mom ring pocket picture wallet remember champagne problems remember champagne,0.26,0.207,0.7534,pos
promise never find another like know handful baby uh know never think jump kind guy ladies want lot cool chicks know went psycho phone never leave well enough alone trouble gon na follow go lot cool chicks one things like others like rainbow colors baby doll comes lover promise never find another like e e ooh ooh ooh ooh one baby fun eeh eeh eeh ooh ooh ooh ooh one baby fun promise nobody gon na love like e e know tend make know never get see never bore baby lot lame guys fight rain ran called name never wan na see walk away lot lame guys one things like others livin winter summer baby doll comes lover promise never find another like e e ooh ooh ooh ooh one let keep company eeh eeh eeh ooh ooh ooh ooh one baby fun promise nobody gon na love like e e girl team know strike band 1 2 3 promise never find another like girl team know spell awesome without promise never find another like e e yeah ooh ooh ooh ooh want ya baby one one baby fun baby fun eeh eeh eeh ooh ooh ooh ooh oh one oh baby fun promise nobody gon na love like e e girl team ooh ooh ooh ooh know one oh oh baby fun eeh eeh eeh ooh ooh ooh ooh strike band 1 2 3 spell awesome without one baby fun promise nobody gon na love like e,0.293,0.146,0.994,pos
knew killer first time saw wondered many girls loved left haunted ghost phantom holdin ransom boys tryin hard try though younger exes act like man see nothing better keep forever like vendetta ta see gon go touch never alone island breeze lights low one know middle night dreams see things baby middle night dreams know gon na take time ready knew robber first time saw stealing hearts running never sayin sorry thief join heist move island jailer burton taylor every love known comparison failure forget names tame never see gon go touch never alone island breeze lights low one know one know middle night dreams see things baby middle night dreams know gon na take time ready oh ready baby let games begin let games begin let games begin baby let games begin let games begin let games begin see gon go touch never alone island breeze lights low one know middle night night dreams dreams see things baby baby hmm eh middle night dreams dreams know gon na know gon na take time middle night baby let games begin let games begin let games begin ready baby let games begin let games begin let games begin ready,0.231,0.127,0.9695,pos
gather line weepin sunlit room fire made ashes even worst day deserve babe hell gave loved swear loved til dying day go grace hero flying around saving face dead wake cursing name wishing stayed look tears ricochet gather stones never knowing mean throw make diamond ring know want haunt ghostly scene wear jewels gave bury go grace fight used tell brave dead wake cursing name wishing stayed look tears ricochet go anywhere want anywhere want home aim heart go blood would still miss bones still talk screaming sky sleep night hear stolen lullabies go grace battleships sink beneath waves kill killed cursing name wishing stayed turned worst fears tossing blame drunk pain crossing good years cursing name wishing stayed look tears,0.226,0.342,-0.975,neg
like water ship rolled night rough surface cut like knife open shut case never would known look face lost current like priceless wine say less know wherever stray follow begging take hand wreck plans man life willow bent right wind head pillow could feel sneakin mythical thing like trophy champion ring one prize cheat win say less know wherever stray follow begging take hand wreck plans man know train could take home anywhere else hollow begging take hand wreck plans man life willow bent right wind count time time life willow bent right wind come back stronger 90s trend wait signal meet dark show places others gave scars open shut case guess known look face every bait switch work art say less know wherever stray follow begging take hand wreck plans man know train could take home anywhere else hollow begging take hand wreck plans man say less know wherever stray follow begging take hand wreck plans man know train could take home anywhere else hollow begging take hand wreck plans man hey man man yeah man every bait switch work art man hey man begging take hand wreck plans,0.211,0.125,0.9674,pos
green color grass used read centennial park used think would meet somebody teal color shirt sixteen yogurt shop used work make little money time curious time gave compasses gave signs clues see pretty think along invisible string tying ooh ooh ooh ooh bad blood song cab first trip la ate favorite spot dinner bold waitress three year trip getting lunch lakes said looked like american singer time mystical time cutting open healing fine clues see pretty think along invisible string tying ooh ooh ooh ooh string pulled wrong arms right dive bar something wrapped past mistakes barbed wire chains around demons wool brave seasons one single thread gold tied cold steel axe grind boys broke heart send babies presents gold color leaves showed around centennial park hell journey brought heaven time wondrous time gave blues purple pink skies cool baby pretty think along invisible string tying ooh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah ah ah,0.159,0.101,0.8789,pos
yeah yeah yeah yeah fever dream high quiet night know caught oh yeah right want bad bad boy shiny toy price know bought oh yeah right want killing slow window always waiting waiting devils roll dice angels roll eyes kill makes want new shape body blue feeling got ooh whoa oh cruel summer cool tell em rules breakable heaven ooh whoa oh cruel summer hang head low glow vending machine dying oh yeah right want say screw trying times trying oh yeah right want cut headlights summer knife always waiting cut bone devils roll dice angels roll eyes bleed last know oh new shape body blue feeling got ooh whoa oh cruel summer cool tell em rules breakable heaven ooh whoa oh cruel summer drunk back car cried like baby coming home bar oh said fine true wan na keep secrets keep snuck garden gate every night summer seal fate oh scream whatever worth love worst thing ever heard looks grinning like devil new shape body blue feeling got ooh whoa oh cruel summer cool tell em rules breakable heaven ooh whoa oh cruel summer drunk back car cried like baby coming home bar oh said fine true wan na keep secrets keep snuck garden gate every night summer seal fate oh scream whatever worth love worst thing ever heard yeah yeah yeah yeah,0.24,0.287,-0.9816,neg
rebekah rode afternoon train sunny saltbox house coast took mind st louis bill heir standard oil name money town said middle class divorcée wedding charming little gauche far new money goes picked home called holiday house parties tasteful little loud doctor told settle must fault heart gave said goes last great american dynasty knows never showed could goes maddest woman town ever seen marvelous time ruining everything rebekah gave rhode island set forever flew bitch pack friends city filled pool champagne swam big names blew money boys ballet losing card game bets dalí said goes last great american dynasty knows never showed could goes shameless woman town ever seen marvelous time ruining everything say seen occasion pacing rocks staring midnight sea feud neighbor stole dog dyed key lime green fifty years long time holiday house sat quietly beach free women madness men bad habits bought knows never showed could goes loudest woman town ever seen marvelous time ruining everything marvelous time ruining everything marvelous time ruining everything marvelous time marvelous,0.252,0.146,0.9829,pos
walked door air cold something bout felt like home somehow left scarf sister house still got drawer even oh sweet disposition wide eyed gaze singing car getting lost upstate autumn leaves falling like pieces place picture days know long gone magic might okay fine oh oh oh little town street almost ran red lookin wind hair remember well photo album counter cheeks turning red used little kid glasses twin sized bed mother telling stories bout tee ball team taught bout past thinking future know long gone nothing else could forget long enough forget needed middle night dancing round kitchen refrigerator light stairs remember well yeah well maybe got lost translation maybe asked much maybe thing masterpiece til tore running scared remember well call break like promise casually cruel name honest crumpled piece paper lying remember well time fly like paralyzed like old self still trying find plaid shirt days nights made mail back things walk home alone keep old scarf first week reminds innocence smells like get rid remember well yeah loved back lost one real thing ever known rare remember well wind hair remember stairs remember rare remember,0.261,0.087,0.9866,pos
please picture trees hit peak seven feet swing creek scared jump high sky pennsylvania still beautiful things sweet tea summer cross heart tell though recall face still got love braids like pattern love moon saturn passed like folk songs love lasts long meaning tell think house haunted dad always mad must think come live pirates cry hide closet like folk song love passed please picture weeds learned civility used scream ferociously time wanted sweet tea summer cross heart tell though recall face still got love pack dolls sweater move india forever passed like folk songs love lasts,0.346,0.131,0.986,pos
best reputation never worse must like make promises babe make drink dive bar east side phone lights nightstand black come meet back dark jeans nikes look oh damn never seen color blue think fun things could like best reputation never worse must like yeah want make promises babe make drink cool said chill head know delicate delicate cool said soon yet know delicate delicate third floor west side handsome mansion view girls back home touch like long night hands hair echoes footsteps stairs stay honey wan na share like best reputation never worse must like yeah want make promises babe make drink cool said chill head know delicate delicate cool said soon yet know delicate delicate sometimes wonder sleep ever dreaming sometimes look eyes pretend mine damn time like cool said chill head know delicate delicate yeah want cool said soon yet know delicate delicate like cool said chill head know delicate yeah want cool said soon yet know delicate delicate,0.4,0.109,0.9925,pos
castle crumbled overnight brought knife gunfight took crown alright liars calling one nobody heard months doin better ever baby fit like daydream walking head one walking call want yeah call want baby fly like jet stream high whole scene loves like brand new call want yeah call want flowers grew back thorns windows boarded storm built fire keep warm drama queens taking swings jokers dressing kings fade nothing look know make mistakes every time bridges burn never learn least one thing right one thing right laughing lover makin forts covers trust like brother yeah know one thing right starry eyes sparkin darkest night baby fit like daydream walking head one walking call want yeah call want baby fly like jet stream high whole scene loves like brand new call want call want call call want yeah call want want wear initial chain round neck chain round neck owns really knows say recall late november holding breath slowly said need save would run away yes would run away baby fit like daydream walking head one walking call want call want call call want yeah call want baby fly like jet stream high whole scene loves like brand new call want call want call call want yeah call want call want call call want call want call call want call want call call want call want call call want call want call call want call want call call want call want call call want yeah call want,0.408,0.037,0.9975,pos
midnight come pick headlights long drive could end burning flames paradise fade view oh since even heard heard tell leave know exactly leads watch us go round round time got james dean daydream look eye got red lip classic thing like go crashing come back every time never go style never go style got long hair slicked back white shirt got good girl faith tight little skirt go crashing come back every time never go style never go style goes keep wild eyes road mmm takes home lights taking coat mmm yeah say heard oh girl girl says heard true stop thinking bout said times got james dean daydream look eye got red lip classic thing like go crashing come back every time never go style never go style got long hair slicked back white shirt got good girl faith tight little skirt tight little skirt go crashing come back every time never go style never go never go never go style take home take home yeah take home oh oh whoa oh oh style oh got james dean daydream look eye got red lip classic thing like go crashing go come back every time never go style never go style1kembedshare,0.137,0.015,0.9774,pos
make sure nobody sees leave hood head keep eyes tell friends run flushed return take road less traveled tell always stop started beautiful rooms ends meetings parking lots thing illicit affairs clandestine meetings longing stares born one single glance dies dies dies million little times leave perfume shelf picked leave trace behind like even exist take words dwindling mercurial high drug worked first hundred times thing illicit affairs clandestine meetings stolen stares show truth one single time lie lie lie million little times wan na scream call kid call baby look godforsaken mess made showed colors know see anyone else call kid call baby look idiotic fool made taught secret language speak anyone else know damn well would ruin million little,0.11,0.192,-0.8442,neg
hard time adjusting shiniest wheels rusting know care came back lot regrets pulled car road lookout could followed fears way maybe quite know say doorway wanted know trying wanted know trying told cages mental got wasted like potential words shoot kill mad lot regrets ahead curve curve became sphere fell behind classmates ended pouring heart stranger pour whiskey wanted know trying wanted know trying least trying hard party feel like open wound hard anywhere days want flashback film reel one screen town wanted know trying maybe quite know say wanted know trying least,0.105,0.22,-0.9062,neg
young first saw close eyes flashback starts standing balcony summer air see lights see party ball gowns see make way crowd say hello little know romeo throwing pebbles daddy said stay away juliet crying staircase begging please go said romeo take somewhere alone waiting left run prince princess love story baby say yes sneak garden see keep quiet dead knew close eyes escape town little oh oh romeo scarlet letter daddy said stay away juliet everything begging please go said romeo take somewhere alone waiting left run prince princess love story baby say yes romeo save trying tell feel love difficult real afraid make mess love story baby say yes oh oh got tired waiting wondering ever coming around faith fading met outskirts town said romeo save feeling alone keep waiting never come head know think knelt ground pulled ring said marry juliet never alone love really know talked dad go pick white dress love story baby say yes oh oh oh oh oh oh young first saw,0.253,0.106,0.9866,pos
gray november since july motion capture put bad light replay footsteps stepping stone trying find one went wrong writing letters addressed fire catching breath staring open window catching death could sure feeling peculiar pain would evermore hey december guess feeling unmoored remember used fight rewind thе tape pause thе moment lost sending signals double crossed catching breath barefoot wildest winter catching death could sure feeling peculiar pain would evermore evermore think cost things lost oh get pause certain tall whether weather frost violence dog days waves tossed line could go cross shipwrecked think cost thought things lost cracks light get pause dreamed certain tall think costs real enough whether weather frost get violence dog days violence dog days waves tossed waves tossed swear line go cross catching breath floors cabin creaking step could sure feeling peculiar pain would evermore evermore evermore pain would evermore,0.115,0.279,-0.9892,neg
honey trees see right years given shit dividin showed hiding spots dancing music stopped disbelief face reinvention met new yet happiness happiness things true happiness past blood bruise past curses cries beyond terror nightfall haunted look eyes would loved lifetime leave behind happiness tell winning smile begin look like smirk lessons start look like weapons pointed deepest hurt hope beautiful fool takes spot next mean sorry see facts fury met new yet happiness happiness things believe happiness history across great divide glorious sunrise dappled flickers light dress wore midnight leave behind happiness make go away making villain guess price paid seven years heaven pulled body mine every goddamn night get fake niceties one teaches good man hurts know hurt honey trees see eyes leak acid rain pillow used lay head giving best tell give want green light forgiveness met new yet think give happiness happiness things true happiness history across great divide glorious sunrise dappled flickers light dress wore midnight leave behind oh leave behind leave behind,0.376,0.205,0.9947,pos
coming age come gone suddenly summer clear never courage convictions long danger near around corner darlin lives could never give peace fire keep brittle heart warm cascade ocean wave blues come people think love show would die secret devil details got friend would enough could never give peace integrity makes seem small paint dreamscapes wall talk shit friends like wasting honor know swing fences sit trenches give wild give child give silence comes two people understand family chose see brother brother enough robbers east clowns west give sunshine give best rain always gon na come standin fire keep brittle heart warm cascade ocean wave blues come people think love show would die secret devil details got friend would enough could never give peace would enough could never give peace would enough could never give peace,0.214,0.234,-0.7087,neg
gorgeous take compliment got drunk made fun way talk think consequence magnetic field little strong got boyfriend older us club doin know cool makes hate much hate much whisky ice sunset vine ruined life mine gorgeous say anything face look face gorgeous furious making feel way say gorgeous take compliment talking everyone think consequence touching hand darkened room dark room dark room got girlfriend jealous single honestly worse gorgeous actually hurts honey hurts ocean blue eyes looking mine feel like might sink drown die gorgeous say anything face face look face look face gorgeous furious making feel way feel way say gorgeous make happy turns back sad nothing hate gorgeous makes mad mmh make happy turns back sad yeah nothing hate guess stumble home cats yeugh alone unless wan na come along oh gorgeous say anything face face look face look face gorgeous furious furious making feel way feel way say say gorgeous make happy turns back sad yeah nothing hate gorgeous makes mad mmh gorgeous make happy turns back sad turns back sad nothing hate gorgeous makes mad mmh,0.325,0.283,0.9452,pos
sit watch reading head low wake watch breathing eyes closed sit watch notice everything much older wiser wait door like kid use best colors portrait lay table fancy shit watch tolerate head tell tell got wrong somehow know love celebrated tolerate greet battle hero welcome take indiscretions good fun sit listеn polish plates gleam glistеn much older wiser wait door like kid use best colors portrait lay table fancy shit watch tolerate head tell tell got wrong somehow know love celebrated tolerate building worlds man throw blankets barbed wire made temple mural sky begging footnotes story life drawing hearts byline always taking much space time assume fine would break free leave us ruins took dagger removed gain weight lose believe could head tell tell got wrong somehow know love celebrated tolerate sit watch,0.332,0.143,0.9899,pos
want know mirrorball show every version tonight get floor shimmering beautiful break million pieces hush one around dear find tallest tiptoes spinning highest heels love shining hush know said end near still tallest tiptoes spinning highest heels love shining want know mirrorball change everything fit like regulars masquerade revelers drunk watch shattered edges glisten hush one around dear find tallest tiptoes spinning highest heels love shining hush know said end near still tallest tiptoes spinning highest heels love shining called circus burned disco sent home horses rodeo clowns still tightrope still trying everything get laughing still believer know never natural try try try still trapeze still trying everything keep looking mirrorball mirrorball show every version,0.254,0.053,0.9819,pos
think say scorpion sting fighting back strike kill know know sing drive home see face neighbor lawn smile mouth fuck forever every time call crazy get crazy say seem angry get angry nothing like mad woman shame went mad one likes mad woman made like poke bear til claws come find something wrap noose around nothing like mad woman breathe flames time talk cannons firin yacht say move know women like hunting witches dirtiest work obvious wanting dead really brought two together every time call crazy get crazy say seem angry get angry nothing like mad woman shame went mad one likes mad woman made like poke bear til claws come find something wrap noose around nothing like mad woman taking time taking time took everything watching climb watching climb people like master spin couple side flings good wives always know mad scathing like one likes mad woman shame went mad made like,0.189,0.324,-0.9806,neg
one know meet spirit meets bones faith forgotten land snow touch brought forth incandescent glow tarnished grand old widow goes stone every day sit wait grieving living oh goddamn pain fits palm freezing hand taking mine promised another oh stop putting roots dreamland house stone ivy grows covered wish know fatal flaw makes long magnificently cursed room opal eyes wish see wants oh goddamn pain fits palm freezing hand taking mine promised another oh stop putting roots dreamland house stone ivy grows covered clover blooms fields spring breaks loose time near would found us crescent moon coast clear spring breaks loose fear gon na burn house ground one know live die moments stole begged borrowed time tell run dare sit watch become drink husband wine oh goddamn pain fits palm freezing hand taking mine promised another oh stop putting roots dreamland house stone ivy grows covered covered yeah fire goddamn blaze dark started started yeah war goddamn fight life started started oh stop putting roots dreamland house stone ivy grows covered covered,0.172,0.281,-0.9729,neg
would complex would cool would say played field found someone commit would okay every conquest made would make boss fearless leader alpha type everyone believes ya like sick running fast wondering get quicker man sick coming man man man man would say hustled put work shake heads question much deserve wearing rude could separated good ideas power moves would toast oh let players play like leo saint tropez sick running fast wondering get quicker man sick coming man man man man like brag raking dollars getting bitches models good bad okay mad flashing dollars bitch baller would paint bad okay mad sick running fast wondering get quicker man know sick coming coming man man man man sick running fast fast wondering get quicker man hey sick coming coming man man man man man oh man yeah man man man,0.172,0.268,-0.9744,neg
blame love made crazy doin right lord save drug baby usin rest life breakin hearts long time toyin older guys playthings use something happened first time darkest little paradise shakin pacin need would cross line would waste time would lose mind say gone far time blame love made crazy doin right lord save drug baby usin rest life blame love made crazy doin right oh lord save drug baby usin rest life name whatever decide gon na call mine insane baby baby echoes name inside mind halo hiding obsession poison ivy daisy baby would fall grace touch face walk away beg knees stay blame love made crazy doin right lord save drug baby usin rest life blame love made crazy doin right oh lord save drug baby usin rest life get high oh every time every time lovin lovin trip life oh every time every time touchin touchin every time every time lovin oh lord save drug baby usin rest life usin rest life oh whoah oh oh blame love made crazy doin right doin right lord save drug baby usin rest life oh oh blame love made crazy oh oh oh doin right doin right oh lord save drug baby usin rest life usin usin get high oh every time every time lovin lovin oh lord save drug baby usin rest,0.216,0.176,0.9675,pos
secret moments crowded room got idea indentation shape made mark golden tattoo silence patience pining anticipation hands shaking holding back ha ah ah silence patience pining desperately waiting hands shaking ah ha ha ha ah say name everything stops want like best friend bought dress could take take ha ha ha ah carve name bedpost cause want like best friend bought dress could take take ha ha ha ah inescapable even gon na try get burned least electrified spilling wine bathtub kiss face drunk everyone thinks know us know nothing silence patience pining anticipation hands shaking holding back ha ah ah silence patience pining desperately waiting hands shaking ah ha ha ha ah say name everything stops want like best friend bought dress could take take ha ha ha ah carve name bedpost want like best friend bought dress could take take ha ha ha ah ah ha ah ah ha ah ah ah bought dress could take ha ah ah ha ah ah ha ah ah ah bought dress could take flashback met buzzcut hair bleached even worst times could see best flashback mistakes rebounds earthquakes even worst lies saw truth woke time wake side one lifeline woke time wake side hands shake explain ah ha ha ha ah say name everything stops want like best friend bought dress could take take ha ha ha ah carve name bedpost want like best friend bought dress could take take ha ha ha ah indentation shape bought dress could take made mark golden tattoo bought dress could take,0.43,0.092,0.9988,pos
never trust narcissist love play em like violin make look oh easy every lie tell tell three world works thinks feel flames skin crimson red paint lips man talks shit owe nothing regret one bit coming say something bad feel good say something bad feel good fun ever could felt good good ra di di di di di di di di di da da ra di di di di di di di di di da da ra di di di di di di di di di da da da da da da never trust playboy love fly em around world let think saved never see comin next world works got ta leave get left feel flames skin says throw away good thing drops name owe nothin spends change comin say something bad oh feel good say something bad feel good fun ever could felt good good ra di di di di di di di di di da da ra di di di di di di di di di da da felt good ra di di di di di di di di di da da da da da da burning witches even one got pitchforks proof receipts reasons burning witches even one light light light light light go ahead light light light light light light light light light say something bad oh feel good good say something bad feel good good fun ever fun ever could felt good good good ra di di di di di di di di di da da ra di di di di di di di di di da da ra di di di di di di di di di da da da da da da oh say something bad say something bad feel good good bad feel good feel feel good bad felt good,0.229,0.132,0.9861,pos
